Date,Open,High,Low,Close,Volume,Turnover (Rs. Cr)
2015-08-07,11604.45,11663.6,11580.35,11597.05,7127683,777.24
2015-08-10,11623.1,11696.85,11500.4,11573.9,5893113,681
2015-08-11,11637.25,11740.85,11605.9,11711.15,9042485,1010.53
2015-08-12,11731.7,12026.05,11731.7,12006.8,14684514,1619.26
2015-08-13,12029.5,12092.05,11916.3,11956.1,11503549,1182.66
2015-08-14,11968.3,12129,11961.1,12048.45,8163202,929.74
2015-08-17,12057.65,12058.05,11920.25,12001.75,5813559,564.93
2015-08-18,12068.35,12250.1,12060.15,12159.4,8733323,953.31
2015-08-19,12215.55,12314.4,12165.4,12249.1,9509622,1061.09
2015-08-20,12269.5,12269.5,11969.3,11985.25,11525076,1259.29
2015-08-21,12009.8,12102.8,11825.05,12032.3,13519573,1614.27
2015-08-24,11750.45,11797.95,11393,11455.15,18489060,2057.71
2015-08-25,11524.85,11615.5,11140.8,11376.75,18912332,1965.89
2015-08-26,11395.5,11548.85,11172.2,11284.1,15743530,1644.38
2015-08-27,11438.7,11476.8,11351.05,11396.9,19464261,2178.59
2015-08-28,11545.3,11645.05,11534.85,11588.25,10260637,1155
2015-08-31,11691.65,11691.65,11537.65,11605.7,14353599,1621.25
2015-09-01,11563.55,11712.5,11391.7,11476.45,10913875,1254.33
2015-09-02,11563.95,11752.1,11510.9,11604.7,13877743,1579.62
2015-09-03,11679.5,11722.8,11565.1,11672.85,10152727,1118.42
2015-09-04,11689.8,11695.8,11392.95,11413.6,10137864,1099.78
2015-09-07,11445.35,11451.1,11264.7,11318.3,7491038,788.81
2015-09-08,11331.65,11452.95,11279.2,11390.1,7477071,810.2
2015-09-09,11554.45,11604.15,11446.35,11504.9,9610428,1065.03
2015-09-10,11439.45,11468.95,11292.2,11396.95,10971745,1205.75
2015-09-11,11445.65,11519.75,11381.35,11432.25,9739475,1049.28
2015-09-14,11482.4,11527.75,11405.35,11520.3,11970821,1156.9
2015-09-15,11524.4,11545.3,11475.25,11536.35,8281022,847.96
2015-09-16,11614.7,11659,11563.75,11606.65,9333693,998.19
2015-09-18,11694.95,11801.9,11666.85,11726.7,14942207,1535.3
2015-09-21,11659.85,11752.85,11643.25,11724.05,7953850,764.14
2015-09-22,11790.5,11941.8,11615.7,11705.55,13419167,1395.84
2015-09-23,11659.9,11753.6,11586.9,11694,7367175,769.07
2015-09-24,11710.75,11971.65,11677.7,11954.1,14445662,1671.74
2015-09-28,11989.3,12008,11819.2,11841.05,10087911,1162.94
2015-09-29,11768.65,11963.2,11749.25,11863.95,11648411,1362.24
2015-09-30,12010.75,12055.8,11904.05,12032.1,13509491,1510.96
2015-10-01,11877.85,11998.7,11769.5,11867.85,26288267,2590.68
2015-10-05,11867.45,12057.1,11867.45,12002.1,16800233,1910.38
2015-10-06,12057.45,12077.95,11865.25,11889.9,13524583,1617.52
2015-10-07,11878.35,11904.5,11660.7,11683.45,15333772,1579.64
2015-10-08,11753.85,11802.15,11625.65,11669.7,17897751,1808.68
2015-10-09,11734.3,11827.5,11676.15,11807.55,15125896,1633.48
2015-10-12,11972.1,12019.05,11571.75,11630.65,21238152,2445.63
2015-10-13,11595.85,11603.9,11452.3,11522.6,16373500,2106.96
2015-10-14,11435.3,11479.4,11347.65,11362.9,12980966,1874.27
2015-10-15,11407.55,11411.4,11310.45,11338.35,11632842,1299.51
2015-10-16,11392.55,11402.5,11301.1,11337.8,10989166,1176.96
2015-10-19,11360.4,11469.2,11305.85,11432.15,13238516,1417.84
2015-10-20,11465.05,11539.25,11436.65,11529.6,11787811,1304.98
2015-10-21,11552.6,11583.45,11501.05,11549.05,9019619,981.49
2015-10-23,11588,11588.2,11494.15,11552,9686270,1032.53
2015-10-26,11597.9,11612.7,11537.1,11576.35,7032459,742.13
2015-10-27,11570.3,11601.25,11533.05,11583.55,9938684,976.16
2015-10-28,11546.05,11664.95,11537.3,11643.3,9103066,902.35
2015-10-29,11644.05,11644.05,11523.95,11548.15,15019766,1548.69
2015-10-30,11549.75,11559.35,11467.9,11486.9,9332157,930.22
2015-11-02,11497.95,11560.6,11428.1,11546.25,8710084,815.06
2015-11-03,11576,11627.85,11565,11618.4,7567658,754.86
2015-11-04,11680.15,11688.65,11535.95,11551.6,9660090,830.63
2015-11-05,11573.1,11573.1,11397.5,11414.45,6980714,708.89
2015-11-06,11424.2,11515.65,11422.95,11485.45,6480847,642.64
2015-11-09,11364.55,11427.95,11320.95,11412.15,10126396,1009.2
2015-11-10,11385.7,11387.85,11191.9,11214.2,6966686,736.92
2015-11-11,11305.2,11312.3,11230.4,11249.7,795240,82.72
2015-11-13,11110.75,11176.75,11027.1,11102.45,6927725,808.56
2015-11-16,11011.5,11061.6,10911.1,11003.8,8864946,917.27
2015-11-17,11032.45,11052.4,10974.55,11035.1,10917373,1076.88
2015-11-18,10967.75,10969.5,10799,10836.7,10167296,1012.92
2015-11-19,10910.5,11059.85,10893.75,11032.9,9850813,1008.63
2015-11-20,11045.65,11195.75,11036.9,11118.85,10781657,1071.38
2015-11-23,11126.25,11189.5,11084.35,11121.2,8727231,851.3
2015-11-24,11096.4,11122.05,11036.05,11057.35,7784549,750.17
2015-11-26,11048.4,11129.25,11013.9,11042.95,15045631,1492.54
2015-11-27,11064.6,11136.4,11031.45,11122.9,7402279,769.3
2015-11-30,11147.85,11279.65,11083.6,11206,21067524,2154.87
2015-12-01,11216.95,11293.2,11216.95,11256.3,9112940,927.1
2015-12-02,11298.9,11298.9,11134.9,11149.6,7524996,808.63
2015-12-03,11149.3,11153.7,11067.55,11081.9,9384540,979.29
2015-12-04,11034.65,11037.95,10940.3,10969.05,10062731,975.55
2015-12-07,11009.5,11054,10943.85,10998.65,8477753,810.86
2015-12-08,10989.2,11109.3,10946,10981.85,8486760,825.67
2015-12-09,10978.25,11027.3,10916.25,10930.05,11006038,1352.4
2015-12-10,10971.55,11073.15,10931.15,11055.5,7908231,832.66
2015-12-11,11086.55,11086.55,11015.6,11043.05,8502528,901.96
2015-12-14,10940.75,11124.9,10940.75,11099.7,7044052,828.05
2015-12-15,11139.55,11139.55,11044.35,11058.25,9065922,815.4
2015-12-16,11081.75,11187.85,11081.75,11144.9,8751937,849.05
2015-12-17,11182.95,11293.05,11122.45,11275.15,9556916,909.72
2015-12-18,11227.15,11227.15,11094.8,11122.5,11781399,1222.45
2015-12-21,11096.4,11232.5,11067.2,11224.75,6043899,641.56
2015-12-22,11201.8,11201.8,11081.15,11095.45,5998230,636.63
2015-12-23,11163.8,11206.4,11130.65,11195.65,4638075,456.29
2015-12-24,11193.25,11197.5,11152.85,11184.9,2927864,318.27
2015-12-28,11152.7,11303.05,11146.85,11271.8,8055590,1001.9
2015-12-29,11257.05,11287.5,11206.6,11253.45,6024174,662.62
2015-12-30,11247.35,11263.6,11100.1,11117.6,6564991,707.19
2015-12-31,11113,11233.85,11113,11212.55,8197040,859.05
2016-01-01,11210.25,11221.6,11137.85,11174.85,3126850,319.03
2016-01-04,11144,11160.95,11004.65,11029.25,7875357,767.78
2016-01-05,11082.6,11084.6,10945.2,10997.15,7909892,859.88
2016-01-06,11027.55,11037.4,10979.45,11018.15,8585557,918.75
2016-01-07,10947.75,10964.65,10822.7,10863.2,10454519,1066.61
2016-01-08,10933.3,11007.5,10896.45,10989.55,7287266,734.59
2016-01-11,10898.8,10917.45,10797.7,10823.9,9742884,1008.7
2016-01-12,10850.25,10850.25,10659.25,10790.35,9984443,1085.98
2016-01-13,10807.85,10860.4,10646.55,10839.85,11133904,1322.31
2016-01-14,10730.65,11068.9,10685.35,10980.45,23469653,2526.62
2016-01-15,11050.65,11057.7,10949.95,10994.95,14012251,1579.57
2016-01-18,10954.2,11084.4,10954.2,10984,11716225,1244.04
2016-01-19,11052.4,11064.8,10873.6,10963.1,12176980,1166.12
2016-01-20,10897.8,10945.4,10855.2,10910.5,10426978,1015.56
2016-01-21,10957.95,10994.9,10893.35,10934.7,10558161,1077.39
2016-01-22,11020.6,11030.65,10961.35,11006.7,7367656,773.08
2016-01-25,11047,11113.8,11000.25,11025.35,6649189,691.76
2016-01-27,11052.55,11061.8,10992.45,11029.1,10815699,1007.87
2016-01-28,11010.1,11073.75,10984.25,11002.7,13918783,1415.82
2016-01-29,11061.85,11266.75,11024.95,11236.15,17438592,1601.88
2016-02-01,11271.15,11409.1,11234.8,11305.25,16768205,1262.37
2016-02-02,11325.75,11377.95,11182.5,11242.1,19286309,1503.46
2016-02-03,11179.75,11218.45,11065.8,11122.25,12152041,999.52
2016-02-04,11178.25,11289.8,11148.15,11213.65,10379772,917.55
2016-02-05,11222.2,11285.1,11188.45,11227.55,8207885,760.67
2016-02-08,11160.85,11190.35,10962.8,11001.45,7344448,673.39
2016-02-09,10866.2,10866.2,10590.1,10614.25,14971950,1264.94
2016-02-10,10614.3,10693.9,10570.65,10600.45,13147364,1060.08
2016-02-11,10615.35,10615.35,10279.7,10312.95,12495553,1025.67
2016-02-12,10404.6,10462.9,10157.1,10324.45,17610027,1287.84
2016-02-15,10446.25,10544.45,10437,10493.75,12549138,1027.81
2016-02-16,10487.4,10511.4,10393.6,10418.65,8993279,780.51
2016-02-17,10429.35,10518.25,10325.25,10502.45,17356929,1193.7
2016-02-18,10554.55,10723.4,10554.45,10702.25,16150256,1195.25
2016-02-19,10670.75,10791.05,10649.75,10768.9,10428901,787.83
2016-02-22,10778.8,10778.8,10691.35,10720.6,9168828,764.93
2016-02-23,10721.4,10729.6,10575.15,10601.45,8340937,677.14
2016-02-24,10581,10586.05,10446.4,10468.05,8531990,781.4
2016-02-25,10469.85,10484.95,10329.2,10403.5,10694119,902.75
2016-02-26,10488.45,10567.95,10419,10463.35,9415436,790.18
2016-02-29,10504.4,10504.4,10075.75,10278.4,12161703,1130.7
2016-03-01,10337.95,10657.1,10313.5,10637.35,10385527,968.6
2016-03-02,10740.45,10920.9,10642.05,10897.1,12342461,1109.95
2016-03-03,10982,11089.45,10950.85,11054.95,20107981,1721.26
2016-03-04,11086.1,11088.1,10930.95,10980.85,23086012,1908.73
2016-03-08,10928.4,10977.3,10832.25,10914.2,22893639,1947.32
2016-03-09,10815.05,10947.7,10733.2,10925.8,34104849,2559.92
2016-03-10,10923.75,10924.8,10783.05,10826.9,30038742,2712.52
2016-03-11,10825.9,10898.7,10805.75,10835.45,14674310,1210.76
2016-03-14,10854.2,10935.65,10836.95,10866.85,14231291,1103.71
2016-03-15,10867.65,10900.25,10709,10730.45,11141197,1013.73
2016-03-16,10733.7,10819.35,10698.7,10803.2,10671044,969.36
2016-03-17,10854,10961.65,10854,10923.5,14035701,1246.39
2016-03-18,10938.05,11177.25,10938.05,11159.7,17103977,1568.44
2016-03-21,11158.95,11221.8,11093.6,11193.85,10929640,1053.87
2016-03-22,11171.9,11229.25,11118.5,11206.6,19527945,1673.32
2016-03-23,11219.7,11246,11125.1,11228.15,17617607,1603.86
2016-03-28,11328.15,11384.9,11112.85,11168.7,20401896,1961.31
2016-03-29,11172.8,11188.65,11089,11114.7,14642638,1326.12
2016-03-30,11127.5,11271.7,11127.5,11254.55,14607256,1308.75
2016-03-31,11240.6,11387.9,11216.45,11309.3,28703814,2801.9
2016-04-01,11306.35,11352.05,11128.05,11194.65,13591384,1334.89
2016-04-04,11224.9,11407.45,11224.9,11387.7,10746882,1037.2
2016-04-05,11386.55,11399.05,11245.5,11274.95,9810804,971.56
2016-04-06,11325.1,11325.1,11165.25,11224.95,9646638,903.55
2016-04-07,11264.6,11264.6,11087.2,11102.6,8675441,935.14
2016-04-08,11082.25,11085.65,11028.15,11061.15,9261058,829.03
2016-04-11,11066.25,11304.65,10975.15,11291.35,13319300,1314.76
2016-04-12,11284,11332.85,11243.75,11304.45,11757296,1109.21
2016-04-13,11412.1,11430.95,11330.5,11351.85,14301422,1464.01
2016-04-18,11493.5,11638.1,11485.15,11597.25,27146780,3255.56
2016-04-20,11697.4,11697.4,11506.15,11552.75,17857029,2016.78
2016-04-21,11500.45,11514.5,11329.9,11355.4,13926801,1265.52
2016-04-22,11326.55,11376.05,11292.4,11304.05,10321425,980.95
2016-04-25,11288.7,11380.55,11267.1,11315.45,8852971,952.2
2016-04-26,11292.35,11444.35,11251.35,11417.35,10029117,1067.69
2016-04-27,11398.9,11507.75,11398.9,11453,8807962,934.36
2016-04-28,11350.15,11428.65,11265.7,11287.15,26615952,2637.09
2016-04-29,11269.1,11279.25,11140.55,11196.25,17856349,1598.03
2016-05-02,11181.15,11181.15,11075.95,11117.7,8245605,763.74
2016-05-03,11129.9,11167.9,10909.95,10925.7,12701121,1215.55
2016-05-04,10913.75,10969.6,10858.8,10948.6,13630944,1210.09
2016-05-05,10966.75,11024.15,10909.6,10973.85,11557528,1060.81
2016-05-06,10960.1,10960.1,10846.65,10887,9008153,750.27
2016-05-09,10900.1,11006.5,10884.05,10991.5,10704177,1028.85
2016-05-10,11010.25,11065.7,10948.75,11034.4,11025224,924.58
2016-05-11,10926.85,11030.3,10900.4,10960.4,11881912,1041.72
2016-05-12,10967.35,11089.8,10955.6,11081.1,8100065,761.81
2016-05-13,11081.3,11081.3,10986.2,11030.7,10936677,1032.74
2016-05-16,11063.1,11134.3,11030.05,11087.75,8453249,764.77
2016-05-17,11126.75,11197.35,11101.25,11125.1,9819119,931.19
2016-05-18,11073.55,11141.5,11038.25,11120.05,9019440,843.86
2016-05-19,11124.8,11136.7,11067.2,11094.6,7759823,705.01
2016-05-20,11067,11149.15,11025.7,11036.15,10263214,921.64
2016-05-23,11080.4,11080.4,10917.15,10939.9,13950324,1219.08
2016-05-24,10946.5,10946.5,10868.15,10924.8,14221089,1115.92
2016-05-25,11019.05,11223.4,11019.05,11215.5,20906137,1487.58
2016-05-26,11231.85,11366.05,11178.25,11337.15,15792493,1380.56
2016-05-27,11325.7,11462.05,11325.7,11420.85,11321580,1044.96
2016-05-30,11433.95,11579.25,11433.95,11547.5,10232578,944.93
2016-05-31,11554.65,11559.45,11374.85,11395.85,32132052,2958.19
2016-06-01,11405.5,11516,11405.5,11494.9,10787515,1057.79
2016-06-02,11447.05,11586.2,11399.45,11458.2,13948173,1207.37
2016-06-03,11482.05,11527,11450.25,11462,8743264,832.56
2016-06-06,11443.5,11469.15,11382.75,11395.8,10312241,914.26
2016-06-07,11434.6,11461.25,11384.45,11413.35,11928792,1033.06
2016-06-08,11427.15,11427.15,11380.9,11404.5,10442067,1025.8
